category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
New arrival,Mogami Terra Sandals - Women's,$99.95,Birkenstock,15,3.6,,"Black, Elemental blue, Eucalyptus, Burnt orange, Whale grey, Expand color swatches",/product/229574/birkenstock-mogami-terra-sandals-womens
Top Rated,Rambler Straw Mug - 35 fl. oz.,$42.00,YETI,270,4.6,,"White, Agave teal",/product/229916/yeti-rambler-straw-mug-35-fl-oz
Top Rated,Mach 6 Road-Running Shoes - Women's,$140.00,HOKA,48,4.6,,"Black/white, Eggnog/vanilla, White/nimbus cloud, Mirage/stellar blue, Expand color swatches",/product/228628/hoka-mach-6-road-running-shoes-womens
Top Rated,Atom Insulated Hoodie - Men's,$300.00,Arc'teryx,204,4.6, $179.83,"Black, Lampyre, Black sapphire, Edziza, Solitude, Smoke bluff, Chloris, Yukon, Pytheas, Iola, Expand color swatches",/product/222632/arcteryx-atom-insulated-hoodie-mens
New arrival,Clifton 9 Road-Running Shoes - Women's,$145.00,HOKA,3814,4.3,,"White/white, Sunlit ocean/lilac mist, Black/rose gold, Black/white, Evening sky/coral, Blanc de blanc/swim day, Black/stellar blue, Black/black, Vanilla/astral, Airy blue/ice water, Nimbus cloud/ice water, Cyclamen/sweet lilac, Expand color swatches",/product/216945/hoka-clifton-9-road-running-shoes-womens
Top Rated,Capilene Cool Daily Hoodie - Men's,$65.00,Patagonia,244,4.7,,"Feather grey, High hopes geo/wispy green, Milkweed mauve/light mauve, Utility blue/light blue, Chilled blue, Expand color swatches",/product/146801/patagonia-capilene-cool-daily-hoodie-mens
Top Rated,Beta LT Jacket - Women's,$450.00,Arc'teryx,155,4.5,,"Black, Black sapphire, Amaranthus/edziza, Yukon, Euphoria, Expand color swatches",/product/185158/arcteryx-beta-lt-jacket-womens
Top Rated,Beta LT Jacket - Men's,$450.00,Arc'teryx,389,4.6, $360.93,"Black, Black sapphire, Edziza, Solace, Yukon, Sprint, Blue tetra, Expand color swatches",/product/185629/arcteryx-beta-lt-jacket-mens
New arrival,Bondi 8 Road-Running Shoes - Men's,$165.00,HOKA,3990,4.3, $132.93,"White/white, Impala/mock orange, Outer space/all aboard, Ice flow/bit of blue, Red alert/flame, Black/white, Black/citrus, Amber haze/sherbet, Puffins bill/amber yellow, Sharkskin/harbor mist, Butterfly/evening primrose, Goblin blue/mountain spring, Oat milk/barley, White/black, Blanc de blanc/virtual blue, Airy blue/diva blue, Virtual blue/swim day, Black/black, Expand color swatches",/product/208679/hoka-bondi-8-road-running-shoes-mens
New arrival,Bondi 8 Road-Running Shoes - Women's,$165.00,HOKA,7180,4.2, $132.93,"Summer song/country air, White/white, Harbor mist/lunar rock, Airy blue/sunlit ocean, Bellwether blue/evening sky, Black/white, Amber haze/sherbet, Blanc de blanc/swim day, Stellar blue/cosmos, Cream/vanilla, Black/black, Expand color swatches",/product/208813/hoka-bondi-8-road-running-shoes-womens
