category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
new arrival,mogami terra sandals - women's,99.95,birkenstock,15,3.6,,"black, elemental blue, eucalyptus, burnt orange, whale grey, expand color swatches",https://www.rei.com/product/229574/birkenstock-mogami-terra-sandals-womens
top rated,rambler straw mug - 35 fl. oz.,42.0,yeti,270,4.6,,"white, agave teal",https://www.rei.com/product/229916/yeti-rambler-straw-mug-35-fl-oz
top rated,mach 6 road-running shoes - women's,140.0,hoka,48,4.6,,"black/white, eggnog/vanilla, white/nimbus cloud, mirage/stellar blue, expand color swatches",https://www.rei.com/product/228628/hoka-mach-6-road-running-shoes-womens
top rated,atom insulated hoodie - men's,300.0,arc'teryx,204,4.6,179.83,"black, lampyre, black sapphire, edziza, solitude, smoke bluff, chloris, yukon, pytheas, iola, expand color swatches",https://www.rei.com/product/222632/arcteryx-atom-insulated-hoodie-mens
new arrival,clifton 9 road-running shoes - women's,145.0,hoka,3814,4.3,,"white/white, sunlit ocean/lilac mist, black/rose gold, black/white, evening sky/coral, blanc de blanc/swim day, black/stellar blue, black/black, vanilla/astral, airy blue/ice water, nimbus cloud/ice water, cyclamen/sweet lilac, expand color swatches",https://www.rei.com/product/216945/hoka-clifton-9-road-running-shoes-womens
top rated,capilene cool daily hoodie - men's,65.0,patagonia,244,4.7,,"feather grey, high hopes geo/wispy green, milkweed mauve/light mauve, utility blue/light blue, chilled blue, expand color swatches",https://www.rei.com/product/146801/patagonia-capilene-cool-daily-hoodie-mens
top rated,beta lt jacket - women's,450.0,arc'teryx,155,4.5,,"black, black sapphire, amaranthus/edziza, yukon, euphoria, expand color swatches",https://www.rei.com/product/185158/arcteryx-beta-lt-jacket-womens
top rated,beta lt jacket - men's,450.0,arc'teryx,389,4.6,360.93,"black, black sapphire, edziza, solace, yukon, sprint, blue tetra, expand color swatches",https://www.rei.com/product/185629/arcteryx-beta-lt-jacket-mens
new arrival,bondi 8 road-running shoes - men's,165.0,hoka,3990,4.3,132.93,"white/white, impala/mock orange, outer space/all aboard, ice flow/bit of blue, red alert/flame, black/white, black/citrus, amber haze/sherbet, puffins bill/amber yellow, sharkskin/harbor mist, butterfly/evening primrose, goblin blue/mountain spring, oat milk/barley, white/black, blanc de blanc/virtual blue, airy blue/diva blue, virtual blue/swim day, black/black, expand color swatches",https://www.rei.com/product/208679/hoka-bondi-8-road-running-shoes-mens
new arrival,bondi 8 road-running shoes - women's,165.0,hoka,7180,4.2,132.93,"summer song/country air, white/white, harbor mist/lunar rock, airy blue/sunlit ocean, bellwether blue/evening sky, black/white, amber haze/sherbet, blanc de blanc/swim day, stellar blue/cosmos, cream/vanilla, black/black, expand color swatches",https://www.rei.com/product/208813/hoka-bondi-8-road-running-shoes-womens
new arrival,clifton 9 road-running shoes - men's,145.0,hoka,1869,4.4,,"bellwether blue/dazzling blue, black/all aboard, harbor mist/black, passion fruit/maize, black/white, oat milk/barley, blanc de blanc/virtual blue, cerise/cloudless, virtual blue/cerise, coastal sky/all aboard, black/black, ice water/evening primrose, nimbus cloud/steel wool, midnight ocean/bluesteel, flame/vibrant orange, ceramic/evening primrose, expand color swatches",https://www.rei.com/product/217110/hoka-clifton-9-road-running-shoes-mens
new arrival,gamma hoodie - men's,300.0,arc'teryx,30,4.5,,,https://www.rei.com/product/240401/arcteryx-gamma-hoodie-mens
new arrival,kaha 2 gtx hiking boots - men's,240.0,hoka,468,4.2,,"honey/barley, black/black, castlerock/harbor mist, duffel bag/radiant yellow, expand color swatches",https://www.rei.com/product/201658/hoka-kaha-2-gtx-hiking-boots-mens
new arrival,arizona soft footbed sandals - women's,145.0,birkenstock,192,4.3,140.0,"habana, mocha, taupe, black oiled leather, expand color swatches",https://www.rei.com/product/850895/birkenstock-arizona-soft-footbed-sandals-womens
new arrival,abs tent peg - 6 in.,0.75,coghlan's,,,,,https://www.rei.com/product/233652/coghlans-abs-tent-peg-6-in
new arrival,arahi 7 road-running shoes - men's,145.0,hoka,93,4.3,,"virtual blue/cerise, blanc de blanc/steel wool, outer space/white, black/white, oat milk/barley, cloudless/poppy, blanc de blanc/virtual blue, expand color swatches",https://www.rei.com/product/229531/hoka-arahi-7-road-running-shoes-mens
new arrival,arahi 7 road-running shoes - women's,145.0,hoka,206,3.7,,"blanc de blanc/rose gold, blanc de blanc/swim day, stellar blue/cosmos, black/white, vanilla/cream, papaya/coral, cloudless/poppy, expand color swatches",https://www.rei.com/product/229731/hoka-arahi-7-road-running-shoes-womens
new arrival,"weekender 2 inflatable stand up paddle board with paddle - 10'6""",249.95,retrospec,,,,"seafoam tide, creamsicle",https://www.rei.com/product/232572/retrospec-weekender-2-inflatable-stand-up-paddle-board-with-paddle-106
new arrival,cormac crew ss shirt - men's,70.0,arc'teryx,69,3.1,55.93,"black heather, stone wash heather, arctic silk heather, black sapphire heather, forage heather, pytheas heather, cloud heather, turbo ac heather, edziza heather, expand color swatches",https://www.rei.com/product/218813/arcteryx-cormac-crew-ss-shirt-mens
new arrival,mach 6 road-running shoes - men's,140.0,hoka,19,3.9,,"virtual blue/bellwether blue, black/white, white/nimbus cloud, oat milk/barley, expand color swatches",https://www.rei.com/product/229583/hoka-mach-6-road-running-shoes-mens
new arrival,001 trail-running shoes - men's,285.0,norda,,,,"core black, ether, white/gum, cinder, expand color swatches",https://www.rei.com/product/238932/norda-001-trail-running-shoes-mens
new arrival,mayari sandals - women's,130.0,birkenstock,189,4.4,99.95,"black, pearl white, mocha, festival fuchsia, tobacco, habana, taupe, expand color swatches",https://www.rei.com/product/850970/birkenstock-mayari-sandals-womens
new arrival,tributary apex 1 electric bike,6499.0,salsa,,,,,https://www.rei.com/product/227687/salsa-tributary-apex-1-electric-bike
new arrival,"multi trails shorts 8"" - men's",79.0,patagonia,41,4.3,46.93,"black, lose yourself outline/green, lagom blue, fitz roy patchwork/belay blue, golden caramel, buckhorn green, burl red, obsidian plum, expand color swatches",https://www.rei.com/product/216979/patagonia-multi-trails-shorts-8-mens
new arrival,ora recovery 3 slides,60.0,hoka,1716,4.1,,"ceramic/ceramic, white/white, passion fruit/passion fruit, pink yarrow/pink yarrow, cyclamen/coastal sky, ice water/airy blue, dusk/dusk, vibrant orange/vibrant orange, cloudless/cerise, beet root/beet root, vanilla/vanilla, tech green/tech green, stellar blue/mirage, papaya/papaya, citrus glow/citrus glow, diva blue/diva blue, raspberry/raspberry, sherbet/sherbet, lime glow/lime glow, violet bloom/violet bloom, grey/grey, coastal sky/all aboard, black/black, expand color swatches",https://www.rei.com/product/217238/hoka-ora-recovery-3-slides
new arrival,cairn evo 3d sandals,125.0,bedrock sandals,7,4.4,,"black, slate blue, moss, dusty lilac, expand color swatches",https://www.rei.com/product/231068/bedrock-sandals-cairn-evo-3d-sandals
new arrival,stretch voyagr jacket - women's,179.0,kuhl,,,,"black, pacific coast, wisteria, agave green, expand color swatches",https://www.rei.com/product/229616/kuhl-stretch-voyagr-jacket-womens
new arrival,anacapa breeze low hiking shoes - women's,155.0,hoka,83,3.9,,"outer space/harbor mist, oxford tan/peach whip, illusion/slate",https://www.rei.com/product/208578/hoka-anacapa-breeze-low-hiking-shoes-womens
new arrival,mirage itrek 9 ultralight inflatable pedal kayak,2599.0,hobie,,,,,https://www.rei.com/product/233887/hobie-mirage-itrek-9-ultralight-inflatable-pedal-kayak
new arrival,adrenaline gts 23 road-running shoes - women's,140.0,brooks,719,4.2,,"black/white/silver, white/oyster/silver, blue/open air/pink, crystal grey/villa/white, black/cream/biscuit, black/black/ebony, grey/black/purple, white sand/sunset/fuchsia, expand color swatches",https://www.rei.com/product/223255/brooks-adrenaline-gts-23-road-running-shoes-womens
top rated,newport h2 sandals - kids',60.0,keen,645,4.7,29.83,"camo/pink icing, steel grey/black, naval academy/keen yellow, aventurine/evening primrose, very berry/fusion coral, legion blue/hot pink, blue depths/gargoyle, rainbow tie dye, safety orange/fjord blue, magnet/brillant blue, ribbon red/gargoyle, expand color swatches",https://www.rei.com/product/113809/keen-newport-h2-sandals-kids
new arrival,glycerin stealthfit 21 road-running shoes - women's,160.0,brooks,74,4.5,,"white/grey/black, pink/marshmallow/orchid, persimmon/charlock/spectrum, raindrops/purple sage, black/cream/biscuit, expand color swatches",https://www.rei.com/product/229604/brooks-glycerin-stealthfit-21-road-running-shoes-womens
top rated,cloudswift 3 shoes - women's,160.0,on,20,4.7,,"white/blueberry, white/frost, fade/black, all black, metal/white, expand color swatches",https://www.rei.com/product/216407/on-cloudswift-3-shoes-womens
new arrival,confluence apex 1 electric bike,2999.0,salsa,,,,,https://www.rei.com/product/227440/salsa-confluence-apex-1-electric-bike
new arrival,gamma pants - women's,200.0,arc'teryx,5,4.0,,"black, black sapphire",https://www.rei.com/product/228324/arcteryx-gamma-pants-womens
new arrival,endorphin speed 4 road-running shoes - men's,170.0,saucony,29,4.1,,,https://www.rei.com/product/228952/saucony-endorphin-speed-4-road-running-shoes-mens
top rated,cormac hoodie - men's,90.0,arc'teryx,62,4.5,,"black heather, black sapphire heather, daybreak heather, edziza heather, expand color swatches",https://www.rei.com/product/218812/arcteryx-cormac-hoodie-mens
new arrival,"lowrider aero tandem inflatable hybrid paddle board with paddles - 11'6""",899.0,bote,,,,,https://www.rei.com/product/233407/bote-lowrider-aero-tandem-inflatable-hybrid-paddle-board-with-paddles-116
top rated,atom insulated vest - men's,200.0,arc'teryx,21,4.5,140.83,"black, black sapphire, edziza, smoke bluff, expand color swatches",https://www.rei.com/product/222636/arcteryx-atom-insulated-vest-mens
